geography_key;Codigo Departamento UDS;Departamento UDS;Codigo Municipio UDS;Municipio UDS;Codigo CentroZonal UDS;Centro Zonal UDS
1;5;ANTIOQUIA;5001;MEDELLIN;501;CZ INTEGRAL NORORIENTAL
2;44;LA GUAJIRA;44650;SAN JUAN DEL CESAR;4403;CZ FONSECA
3;19;CAUCA;19300;GUACHENE;1905;CZ NORTE
4;44;LA GUAJIRA;44001;RIOHACHA;4401;CZ RIOHACHA 1
5;23;CÓRDOBA;23466;MONTELIBANO;2305;CZ MONTELIBANO
6;44;LA GUAJIRA;44560;MANAURE;4404;CZ MANAURE
7;13;BOLÍVAR;13001;CARTAGENA DE INDIAS;1302;CZ DE LA VIRGEN Y TURISTICO
8;25;CUNDINAMARCA;25293;GACHALA;2509;CZ GACHETA
9;19;CAUCA;19397;LA VEGA;1906;CZ MACIZO COLOMBIANO
10;41;HUILA;41001;NEIVA;4105;CZ LA GAITANA
11;52;NARIÑO;52540;POLICARPA;5208;CZ REMOLINO
12;18;CAQUETÁ;18001;FLORENCIA;1801;CZ FLORENCIA 1
13;44;LA GUAJIRA;44430;MAICAO;4405;CZ MAICAO
14;17;CALDAS;17088;BELALCAZAR;1709;CZ DEL CAFE
15;5;ANTIOQUIA;5411;LIBORINA;510;CZ OCCIDENTE
16;11;BOGOTA D.C.;11001;BOGOTA, D.C.;1114;CZ SUBA
17;27;CHOCÓ;27001;QUIBDO;2701;CZ QUIBDO
18;52;NARIÑO;52835;SAN ANDRES DE TUMACO;5203;CZ TUMACO
19;13;BOLÍVAR;13433;MAHATES;1304;CZ TURBACO
20;76;VALLE DEL CAUCA;76001;CALI;7603;CZ LADERA
21;8;ATLÁNTICO;8001;BARRANQUILLA;802;CZ SUROCCIDENTE
22;15;BOYACÁ;15176;CHIQUINQUIRA;1505;CZ CHIQUINQUIRA
23;41;HUILA;41799;TELLO;4105;CZ LA GAITANA
24;44;LA GUAJIRA;44847;URIBIA;4409;CZ ICHITKI WAYUUWAAPULE
25;70;SUCRE;70823;TOLU VIEJO;7002;CZ NORTE
26;27;CHOCÓ;27135;EL CANTON DEL SAN PABLO;2705;CZ TADO
27;54;NORTE DE SANTANDER;54498;OCAÑA;5404;CZ OCAÑA
28;15;BOYACÁ;15442;MARIPI;1505;CZ CHIQUINQUIRA
29;70;SUCRE;70771;SUCRE;7004;CZ LA MOJANA
30;5;ANTIOQUIA;5120;CACERES;507;CZ BAJO CAUCA
31;63;QUINDIO;63190;CIRCASIA;6301;CZ ARMENIA SUR
32;86;PUTUMAYO;86001;MOCOA;8601;CZ MOCOA
33;68;SANTANDER;68077;BARBOSA;6809;CZ VELEZ
34;52;NARIÑO;52520;FRANCISCO PIZARRO;5203;CZ TUMACO
35;27;CHOCÓ;27077;BAJO BAUDO;2712;CZ BAUDÓ
36;47;MAGDALENA;47288;FUNDACION;4705;CZ FUNDACIÓN
37;5;ANTIOQUIA;5209;CONCORDIA;515;CZ PENDERISCO
38;5;ANTIOQUIA;5001;MEDELLIN;502;CZ INTEGRAL NOROCCIDENTAL
39;5;ANTIOQUIA;5001;MEDELLIN;504;CZ SUR ORIENTE
40;5;ANTIOQUIA;5001;MEDELLIN;536;CZ ROSALES
41;5;ANTIOQUIA;5002;ABEJORRAL;512;CZ ORIENTE
42;5;ANTIOQUIA;5004;ABRIAQUI;511;CZ OCCIDENTE MEDIO
43;5;ANTIOQUIA;5021;ALEJANDRIA;512;CZ ORIENTE
44;5;ANTIOQUIA;5030;AMAGA;506;CZ ABURRA SUR
45;5;ANTIOQUIA;5031;AMALFI;513;CZ PORCE NUS
46;5;ANTIOQUIA;5034;ANDES;514;CZ SUROESTE
47;5;ANTIOQUIA;5036;ANGELOPOLIS;506;CZ ABURRA SUR
48;5;ANTIOQUIA;5038;ANGOSTURA;508;CZ LA MESETA
49;5;ANTIOQUIA;5040;ANORI;513;CZ PORCE NUS
50;5;ANTIOQUIA;5042;SANTA FE DE ANTIOQUIA;510;CZ OCCIDENTE
51;5;ANTIOQUIA;5044;ANZA;510;CZ OCCIDENTE
52;5;ANTIOQUIA;5045;APARTADO;516;CZ URABA
53;5;ANTIOQUIA;5051;ARBOLETES;516;CZ URABA
54;5;ANTIOQUIA;5055;ARGELIA;512;CZ ORIENTE
55;5;ANTIOQUIA;5059;ARMENIA;506;CZ ABURRA SUR
56;5;ANTIOQUIA;5079;BARBOSA;505;CZ ABURRA NORTE
57;5;ANTIOQUIA;5086;BELMIRA;505;CZ ABURRA NORTE
58;5;ANTIOQUIA;5088;BELLO;505;CZ ABURRA NORTE
59;11;BOGOTA D.C.;11001;BOGOTA, D.C.;1108;CZ BOSA
60;5;ANTIOQUIA;5091;BETANIA;514;CZ SUROESTE
61;5;ANTIOQUIA;5093;BETULIA;515;CZ PENDERISCO
62;5;ANTIOQUIA;5101;CIUDAD BOLIVAR;514;CZ SUROESTE
63;5;ANTIOQUIA;5107;BRICEÑO;508;CZ LA MESETA
64;5;ANTIOQUIA;5113;BURITICA;510;CZ OCCIDENTE
65;5;ANTIOQUIA;5125;CAICEDO;515;CZ PENDERISCO
66;5;ANTIOQUIA;5129;CALDAS;506;CZ ABURRA SUR
67;5;ANTIOQUIA;5134;CAMPAMENTO;508;CZ LA MESETA
68;5;ANTIOQUIA;5138;CAÑASGORDAS;511;CZ OCCIDENTE MEDIO
69;5;ANTIOQUIA;5142;CARACOLI;509;CZ MAGDALENA MEDIO
70;5;ANTIOQUIA;5145;CARAMANTA;514;CZ SUROESTE
71;5;ANTIOQUIA;5147;CAREPA;516;CZ URABA
72;5;ANTIOQUIA;5148;EL CARMEN DE VIBORAL;512;CZ ORIENTE
73;52;NARIÑO;52435;MALLAMA;5205;CZ TUQUERRES
74;5;ANTIOQUIA;5150;CAROLINA;508;CZ LA MESETA
75;5;ANTIOQUIA;5154;CAUCASIA;507;CZ BAJO CAUCA
76;5;ANTIOQUIA;5172;CHIGORODO;516;CZ URABA
77;5;ANTIOQUIA;5190;CISNEROS;513;CZ PORCE NUS
78;5;ANTIOQUIA;5197;COCORNA;517;CZ ORIENTE MEDIO
79;5;ANTIOQUIA;5206;CONCEPCION;512;CZ ORIENTE
80;5;ANTIOQUIA;5212;COPACABANA;505;CZ ABURRA NORTE
81;54;NORTE DE SANTANDER;54405;LOS PATIOS;5401;CZ CUCUTA 1
82;5;ANTIOQUIA;5234;DABEIBA;511;CZ OCCIDENTE MEDIO
83;5;ANTIOQUIA;5237;DONMATIAS;505;CZ ABURRA NORTE
84;5;ANTIOQUIA;5240;EBEJICO;510;CZ OCCIDENTE
85;47;MAGDALENA;47745;SITIONUEVO;4704;CZ CIENAGA
86;20;CESAR;20295;GAMARRA;2004;CZ AGUACHICA
87;5;ANTIOQUIA;5250;EL BAGRE;507;CZ BAJO CAUCA
88;17;CALDAS;17877;VITERBO;1703;CZ OCCIDENTE
89;54;NORTE DE SANTANDER;54518;PAMPLONA;5405;CZ PAMPLONA
90;5;ANTIOQUIA;5264;ENTRERRIOS;505;CZ ABURRA NORTE
91;5;ANTIOQUIA;5266;ENVIGADO;506;CZ ABURRA SUR
92;5;ANTIOQUIA;5282;FREDONIA;506;CZ ABURRA SUR
93;76;VALLE DEL CAUCA;76834;TULUA;7610;CZ TULUA
94;5;ANTIOQUIA;5284;FRONTINO;511;CZ OCCIDENTE MEDIO
95;5;ANTIOQUIA;5306;GIRALDO;510;CZ OCCIDENTE
96;5;ANTIOQUIA;5308;GIRARDOTA;505;CZ ABURRA NORTE
97;5;ANTIOQUIA;5310;GOMEZ PLATA;508;CZ LA MESETA
98;5;ANTIOQUIA;5313;GRANADA;517;CZ ORIENTE MEDIO
99;5;ANTIOQUIA;5315;GUADALUPE;508;CZ LA MESETA
100;5;ANTIOQUIA;5318;GUARNE;512;CZ ORIENTE
101;5;ANTIOQUIA;5321;GUATAPE;512;CZ ORIENTE
102;5;ANTIOQUIA;5347;HELICONIA;506;CZ ABURRA SUR
103;5;ANTIOQUIA;5353;HISPANIA;514;CZ SUROESTE
104;5;ANTIOQUIA;5360;ITAGUI;506;CZ ABURRA SUR
105;27;CHOCÓ;27150;CARMEN DEL DARIEN;2704;CZ RIOSUCIO
106;5;ANTIOQUIA;5361;ITUANGO;508;CZ LA MESETA
107;5;ANTIOQUIA;5364;JARDIN;514;CZ SUROESTE
108;5;ANTIOQUIA;5368;JERICO;514;CZ SUROESTE
109;5;ANTIOQUIA;5376;LA CEJA;512;CZ ORIENTE
110;5;ANTIOQUIA;5380;LA ESTRELLA;506;CZ ABURRA SUR
111;5;ANTIOQUIA;5390;LA PINTADA;506;CZ ABURRA SUR
112;5;ANTIOQUIA;5400;LA UNION;512;CZ ORIENTE
113;5;ANTIOQUIA;5425;MACEO;509;CZ MAGDALENA MEDIO
114;5;ANTIOQUIA;5440;MARINILLA;512;CZ ORIENTE
115;5;ANTIOQUIA;5467;MONTEBELLO;506;CZ ABURRA SUR
116;5;ANTIOQUIA;5475;MURINDO;516;CZ URABA
117;5;ANTIOQUIA;5480;MUTATA;516;CZ URABA
118;5;ANTIOQUIA;5483;NARIÑO;512;CZ ORIENTE
119;5;ANTIOQUIA;5490;NECOCLI;516;CZ URABA
120;5;ANTIOQUIA;5495;NECHI;507;CZ BAJO CAUCA
121;5;ANTIOQUIA;5501;OLAYA;510;CZ OCCIDENTE
122;5;ANTIOQUIA;5541;PEÑOL;512;CZ ORIENTE
123;5;ANTIOQUIA;5543;PEQUE;511;CZ OCCIDENTE MEDIO
124;5;ANTIOQUIA;5576;PUEBLORRICO;514;CZ SUROESTE
125;5;ANTIOQUIA;5579;PUERTO BERRIO;509;CZ MAGDALENA MEDIO
126;5;ANTIOQUIA;5585;PUERTO NARE;509;CZ MAGDALENA MEDIO
127;5;ANTIOQUIA;5591;PUERTO TRIUNFO;509;CZ MAGDALENA MEDIO
128;5;ANTIOQUIA;5604;REMEDIOS;513;CZ PORCE NUS
129;5;ANTIOQUIA;5607;RETIRO;512;CZ ORIENTE
130;5;ANTIOQUIA;5615;RIONEGRO;512;CZ ORIENTE
131;5;ANTIOQUIA;5628;SABANALARGA;510;CZ OCCIDENTE
132;5;ANTIOQUIA;5631;SABANETA;506;CZ ABURRA SUR
133;5;ANTIOQUIA;5642;SALGAR;514;CZ SUROESTE
134;5;ANTIOQUIA;5647;SAN ANDRES;508;CZ LA MESETA
135;5;ANTIOQUIA;5649;SAN CARLOS;517;CZ ORIENTE MEDIO
136;5;ANTIOQUIA;5652;SAN FRANCISCO;517;CZ ORIENTE MEDIO
137;5;ANTIOQUIA;5656;SAN JERONIMO;510;CZ OCCIDENTE
138;5;ANTIOQUIA;5658;SAN JOSE DE LA MONTAÑA;508;CZ LA MESETA
139;5;ANTIOQUIA;5659;SAN JUAN DE URABA;516;CZ URABA
140;5;ANTIOQUIA;5660;SAN LUIS;517;CZ ORIENTE MEDIO
141;5;ANTIOQUIA;5664;SAN PEDRO;505;CZ ABURRA NORTE
142;5;ANTIOQUIA;5665;SAN PEDRO DE URABA;516;CZ URABA
