service_key;Nombre Servicio;Tipo Servicio
1;CENTRO DE DESARROLLO INFANTIL - A - INSTITUCIONAL;CENTRO DE DESARROLLO INFANTIL
2;EDUCACIÓN INICIAL PROPIA DIARIA - PROPIA E INTERCULTURAL;OTROS
3;HCB - A - FAMILIAR Y COMUNITARIA;HCB
4;MAI – LA GUAJIRA;MAI
5;HCB FAMI BIENVENIR - FAMILIAR Y COMUNITARIA;HCB
6;EDUCACIÓN INICIAL EN EL HOGAR - A - FAMILIAR Y COMUNITARIA;OTROS
7;HCB FAMI - FAMILIAR Y COMUNITARIA;HCB
8;EDUCACIÓN INICIAL CAMPESINA - A - PROPIA E INTERCULTURAL;OTROS
9;EDUCACIÓN INICIAL CAMPESINA - B - PROPIA E INTERCULTURAL;OTROS
10;SERVICIO ESPECIAL PARA LA PRIMERA INFANCIA - INSTITUCIONAL;OTROS
11;HOGAR INFANTIL – INSTITUCIONAL;OTROS
12;CENTRO DE DESARROLLO INFANTIL - D – INSTITUCIONAL;CENTRO DE DESARROLLO INFANTIL
13;HCB - B - FAMILIAR Y COMUNITARIA;HCB
14;EDUCACIÓN INICIAL PROPIA PERIÓDICA – PROPIA E INTERCULTURAL;OTROS
15;DESARROLLO INFANTIL EN ESTABLECIMIENTO DE RECLUSIÓN - DIER - B – INSTITUCIONAL;OTROS
16;JARDINES INTERCULTURALES DE EDUCACIÓN INICIAL - A - PROPIA E INTERCULTURAL;JARDÍN
17;SERVICIO ESPECIAL PARA LA PRIMERA INFANCIA - FAMILIAR/COMUNITARIA;OTROS
18;JARDÍN COMUNITARIO - FAMILIAR Y COMUNITARIA;OTROS
19;CENTRO DE EDUCACIÓN INICIAL – INSTITUCIONAL;OTROS
20;DESARROLLO INFANTIL EN ESTABLECIMIENTO DE RECLUSIÓN - DIER - A – INSTITUCIONAL;OTROS
21;JARDINES INTERCULTURALES DE EDUCACIÓN INICIAL - B - PROPIA E INTERCULTURAL;JARDÍN
22;CENTRO DE DESARROLLO INFANTIL - B - INSTITUCIONAL;CENTRO DE DESARROLLO INFANTIL
23;PROPIA CRIC - PROPIA E INTERCULTURAL;SERVICIO PROPIO
24;EDUCACIÓN INICIAL EN EL HOGAR - B - FAMILIAR Y COMUNITARIA;OTROS
25;RAÍZ Y RETOÑO – PUEBLOS AISO;OTROS
26;RISAS, RAICES Y RECONOCIMIENTO CAMPESINO;OTROS
27;SEMILLAS DE VIDA - CRIC;SEMILLAS DE VIDA
28;CENTRO DE DESARROLLO INFANTIL - C - INSTITUCIONAL;CENTRO DE DESARROLLO INFANTIL
29;EDUCACIÓN INICIAL EN EL HOGAR - D - FAMILIAR Y COMUNITARIA;OTROS
