service_unit_key;Codigo Unidad Servicio;Unidad Servicio;Estado UDS
1;500100019984;MAMBRU;ACTIVA
2;446501139063;LA VICTORIA 2;ACTIVA
3;1930000044071;PLUTO;ACTIVA
4;4400100001640;JERREJERREMANA;ACTIVA
5;2346600084069;MIS ESTRELLITAS;ACTIVA
6;4456000000506;OLOCHIMANA;ACTIVA
7;1300100054584;MIS PRIMERO PASOS;ACTIVA
8;2529300134660;CENTRO RURAL;ACTIVA
9;193971131066;LA VEGA LTS 3 ZANJEÑITOS DEL FUTURO;ACTIVA
10;4100100129979;NEIVA RURAL 3;ACTIVA
11;5254000114260;CDI CARITAS FELICES CON ARRIENDO;ACTIVA
12;500100024643;LOS CARIÑOSITOS;ACTIVA
13;500100027697;LOS PATITOS;ACTIVA
14;500100027764;CARITAS FELICES;ACTIVA
15;500100032253;RAYITOS DE LUZ;ACTIVA
16;500100027837;MANITAS TRAVIESAS;ACTIVA
17;500100028079;LOS ANGELITOS;ACTIVA
18;500100032262;LOS DIABLITOS;ACTIVA
19;500100028191;CAMINITO FELIZ;ACTIVA
20;500100028321;AMANDO LA VIDA;ACTIVA
21;500100028392;RIN RIN;ACTIVA
22;500100028451;LAS GAVIOTAS;ACTIVA
23;500100028480;LOS PITUFOS;ACTIVA
24;500100030904;MI INFANCIA;ACTIVA
25;500100031040;ESTRELLITAS CREATIVAS;ACTIVA
26;500100031339;PORVENIR;ACTIVA
27;500100031348;LOS PEQUEÑINES;ACTIVA
28;500100031380;LOS RATONCITOS;ACTIVA
29;500100031395;SEMILLITAS DEL FUTURO 1;ACTIVA
30;1800100015315;MIS PRIMERAS LUCES;ACTIVA
31;4443000002316;YOUSPA;ACTIVA
32;1708800123898;EIC UN MUNDO DE VALORES UA 6.1;ACTIVA
33;54111134913;AULA LOS PIOLINES;ACTIVA
34;234661118823;UDS MI RINCONCITO;ACTIVA
35;4400100001469;PUERTO PACHECO;ACTIVA
36;500100031432;MIS NIÑOS;ACTIVA
37;500100031447;LA MADRE FELIZ;ACTIVA
38;500100031462;MI PEQUEÑO MUNDO;ACTIVA
39;500100031492;MIS PEQUEÑOS HEROES;ACTIVA
40;1100100020892;LOS PITUFOS;ACTIVA
41;270011157874;MIS TERNURITAS 6;ACTIVA
42;4456000000503;KULUPULEKA;ACTIVA
43;4456000000757;WAYUCHENCA;ACTIVA
44;500100031501;LOS NIÑOS DEL FUTURO;ACTIVA
45;5283500111436;FLORILLITOS;ACTIVA
46;500100031518;VIVAMOS MOMENTOS;ACTIVA
47;500100032105;PEQUEÑOS SOÑADORES 2;ACTIVA
48;500100032136;SEMILLAS DE ESPERANZA 2;ACTIVA
49;1343300070031;HOGAR MI NIÑO JESUS;ACTIVA
50;760011151090;SAGRADO CORAZON DE JESUS;ACTIVA
51;800100062565;EL BEBE TIERNO;ACTIVA
52;4400100001265;LOS REMEDIOS;ACTIVA
53;151761128934;CHIQUINQUIRA F3;ACTIVA
54;500100032151;DULCE DESPERTAR;ACTIVA
55;500100032245;CERCA DEL NIDO;ACTIVA
56;500100032291;LOS SIETE ENANOS;ACTIVA
57;500100032397;LOS CARIÑOSITOS 1;ACTIVA
58;500100032844;EL AMISTOSO;ACTIVA
59;500100032986;JARDIN DE LOS NIÑOS;ACTIVA
60;500100033081;MIS PRIMEROS PASOS 1;ACTIVA
61;500100033206;CAPULLITOS DE ALEGRIA;ACTIVA
62;500100033895;LOS CONEJITOS;ACTIVA
63;500100033908;PEQUEÑOS ENANITOS;ACTIVA
64;500100033922;PEQUEÑOS PITUFOS;ACTIVA
65;500100033928;TIGRILLOS TRAVIESOS;ACTIVA
66;4179900138511;CHIQUILLOS;ACTIVA
67;500100033942;CORAZONCITOS ALEGRES;ACTIVA
68;500100034211;APRENDIENDO JUNTOS;ACTIVA
69;500100034227;ENCANTOS;ACTIVA
70;500100034646;LOS PINGUINOS 1;ACTIVA
71;500100036544;DULCE HOGAR;ACTIVA
72;500100037608;OSCAR HOYOS POSADA;ACTIVA
73;500100039104;PATO DONALD;ACTIVA
74;500100039381;LOS CARIÑOSITOS 3;ACTIVA
75;4484700001850;LA TRAMPA;ACTIVA
76;7082300088525;MI PEQUEÑO MUNDO;ACTIVA
77;271351160785;TARIDO1;ACTIVA
78;544981158628;LUCERITOS;ACTIVA
79;1544200086365;LOS PATICOS;ACTIVA
80;4456000000516;AEREOPUERTO;ACTIVA
81;500100075805;PETALOS DE ROSA;ACTIVA
82;1800100013102;LOS CORAZONES;ACTIVA
83;500100039390;LOS TRAVIESOS;ACTIVA
84;500100039446;CARITAS ALEGRES 1;ACTIVA
85;500100040124;LOS RETOÑITOS;ACTIVA
86;500100040132;HORAS ENCANTADAS;ACTIVA
87;500100040134;AMOR Y TERNURA;ACTIVA
88;500100040138;MUJER TU HIJO Y YO;ACTIVA
89;500100042340;EL BUEN NIÑO;ACTIVA
90;500100042542;LOS PITUFOS 11;ACTIVA
91;500100043416;HOGAR INFANTIL SOL Y LUNA;ACTIVA
92;500100045729;ANGELITOS INQUIETOS;ACTIVA
93;500100075808;LOS PITUFOS;ACTIVA
94;500100045750;CAMINITO HACIA EL FUTURO;ACTIVA
95;500100045776;CARRUSEL;ACTIVA
96;500100045779;MI PEQUEÑO TESORO;ACTIVA
97;500100046458;MI CARIÑITO;ACTIVA
98;500100046477;MI SEGUNDO HOGAR;ACTIVA
99;500100046511;MI PEQUEÑA LULU;ACTIVA
100;500100046530;CARITAS ALEGRES 1;ACTIVA
101;151761128939;CHIQUINQUIRA C3;ACTIVA
102;500100046541;LOS CARIÑOSITOS;ACTIVA
103;500100046555;PICARDIAS;ACTIVA
104;500100046560;LOS BULLICIOSOS;ACTIVA
105;500100046562;ALEGRIAS DE VIVIR;ACTIVA
106;500100046574;LOS SALTARINES;ACTIVA
107;500100046587;NUEVO AMANECER;ACTIVA
